review,rating,helpful_votes,platform,language,location,version,verified_purchase,date_clean,review_length_clean,review_clean,clean_token_count,sentiment
"Not bad, but updates are needed for better performance.",3,65,Amazon,en,France,1.2.3,Yes,2025-04-06,55,not bad update need better performance,6,Neutral
"Not bad, but updates are needed for better performance.",3,55,App Store,ja,Kenya,1.2.3,Yes,,55,not bad update need better performance,6,Neutral
"Highly satisfied, the app works exactly as expected.",4,88,Flipkart,ar,UK,2.1.4,Yes,,52,highly satisfy app work exactly expect,6,Positive
Works fine but there is room for improvement.,3,132,Website,de,Nepal,3.5.6,Yes,,45,work fine room improvement,4,Neutral
Poor performance and not user-friendly.,2,183,App Store,pt,Kenya,1.2.3,Yes,2024-09-04,39,poor performance not user friendly,5,Negative
"Not satisfied, many bugs and issues.",2,120,Flipkart,en,Italy,4.2.1,No,,36,not satisfy many bug issue,5,Negative
"Not satisfied, many bugs and issues.",1,66,Website,pt,Poland,3.5.6,Yes,,36,not satisfy many bug issue,5,Negative
"Not satisfied, many bugs and issues.",2,99,Website,zh,France,4.2.1,No,,36,not satisfy many bug issue,5,Negative
"Not satisfied, many bugs and issues.",1,50,Google Play,pt,Nepal,4.2.1,Yes,,36,not satisfy many bug issue,5,Negative
Poor performance and not user-friendly.,1,136,Website,zh,France,3.5.6,No,2024-09-05,39,poor performance not user friendly,5,Negative
The app is okay and does its job reasonably well.,3,82,App Store,ja,France,4.2.1,No,,49,app okay job reasonably well,5,Neutral
"Highly satisfied, the app works exactly as expected.",4,38,Amazon,fr,India,2.1.4,No,,52,highly satisfy app work exactly expect,6,Positive
Poor performance and not user-friendly.,2,110,Website,ar,France,2.1.4,No,,39,poor performance not user friendly,5,Negative
"Great experience, smooth performance and useful features.",4,74,App Store,pt,France,4.2.1,No,,57,great experience smooth performance useful feature,6,Positive
Amazing quality and user-friendly interface.,4,195,App Store,fr,Qatar,2.1.4,No,2024-03-06,44,amaze quality user friendly interface,5,Positive
"Waste of time, does not meet expectations.",2,78,Google Play,pt,Qatar,5.0.3,Yes,,42,waste time not meet expectation,5,Negative
"Great experience, smooth performance and useful features.",5,104,Google Play,ar,UK,4.2.1,Yes,2024-03-07,57,great experience smooth performance useful feature,6,Positive
"Very disappointing experience, the app crashes often.",1,151,Website,pt,USA,1.2.3,No,,53,disappoint experience app crash often,5,Negative
"Not satisfied, many bugs and issues.",1,6,Flipkart,ja,Poland,1.2.3,Yes,,36,not satisfy many bug issue,5,Negative
"Not bad, but updates are needed for better performance.",3,8,Amazon,fr,Qatar,2.1.4,No,,55,not bad update need better performance,6,Neutral
"Waste of time, does not meet expectations.",1,146,Website,pt,Poland,4.2.1,Yes,,42,waste time not meet expectation,5,Negative
"Waste of time, does not meet expectations.",2,13,Website,fr,Italy,2.1.4,No,,42,waste time not meet expectation,5,Negative
"Waste of time, does not meet expectations.",1,88,Flipkart,fr,Qatar,2.1.4,No,2024-07-07,42,waste time not meet expectation,5,Negative
Amazing quality and user-friendly interface.,4,108,Website,en,Germany,4.2.1,Yes,,44,amaze quality user friendly interface,5,Positive
"Highly satisfied, the app works exactly as expected.",4,1,Amazon,en,Nepal,1.2.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Not satisfied, many bugs and issues.",1,146,Google Play,zh,Germany,2.1.4,No,2024-08-09,36,not satisfy many bug issue,5,Negative
"Terrible experience, needs major improvements.",1,106,Google Play,en,India,1.2.3,Yes,2024-03-03,46,terrible experience need major improvement,5,Negative
"Very disappointing experience, the app crashes often.",2,35,Flipkart,zh,Kenya,2.1.4,No,,53,disappoint experience app crash often,5,Negative
"Terrible experience, needs major improvements.",2,10,App Store,en,India,4.2.1,No,2025-02-05,46,terrible experience need major improvement,5,Negative
"Average experience, some features could be improved.",3,106,Amazon,en,India,5.0.3,Yes,,52,average experience feature could improve,5,Neutral
"Highly satisfied, the app works exactly as expected.",4,135,Website,fr,USA,4.2.1,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Excellent app, very easy to use and extremely helpful.",4,76,Amazon,de,Germany,1.2.3,No,2024-07-09,54,excellent app easy use extremely helpful,6,Positive
The app is okay and does its job reasonably well.,3,106,Website,de,Qatar,2.1.4,No,,49,app okay job reasonably well,5,Neutral
"Highly satisfied, the app works exactly as expected.",5,196,Website,ar,Germany,1.2.3,No,2025-05-08,52,highly satisfy app work exactly expect,6,Positive
"Highly satisfied, the app works exactly as expected.",5,58,Google Play,zh,India,5.0.3,No,,52,highly satisfy app work exactly expect,6,Positive
Amazing quality and user-friendly interface.,5,3,Flipkart,hi,UK,4.2.1,No,,44,amaze quality user friendly interface,5,Positive
Works fine but there is room for improvement.,3,142,Amazon,ja,Kenya,5.0.3,Yes,,45,work fine room improvement,4,Neutral
"Not satisfied, many bugs and issues.",1,105,Website,hi,Poland,4.2.1,Yes,,36,not satisfy many bug issue,5,Negative
"Waste of time, does not meet expectations.",1,144,Flipkart,en,Germany,4.2.1,Yes,2025-03-06,42,waste time not meet expectation,5,Negative
Very reliable and worth using regularly.,4,157,Website,de,India,4.2.1,No,,40,reliable worth use regularly,4,Positive
"Not satisfied, many bugs and issues.",2,80,App Store,hi,Nepal,3.5.6,Yes,,36,not satisfy many bug issue,5,Negative
"Average experience, some features could be improved.",3,29,Google Play,ja,Italy,4.2.1,Yes,,52,average experience feature could improve,5,Neutral
Works fine but there is room for improvement.,3,121,Website,zh,Italy,5.0.3,Yes,,45,work fine room improvement,4,Neutral
"Great experience, smooth performance and useful features.",5,171,Amazon,ar,Poland,1.2.3,Yes,,57,great experience smooth performance useful feature,6,Positive
"Decent app, neither too good nor too bad.",3,28,Flipkart,hi,Qatar,4.2.1,No,,41,decent app neither good nor bad,6,Neutral
"Highly satisfied, the app works exactly as expected.",4,123,Website,zh,Italy,4.2.1,No,2024-01-04,52,highly satisfy app work exactly expect,6,Positive
"Great experience, smooth performance and useful features.",4,101,App Store,zh,Qatar,4.2.1,No,,57,great experience smooth performance useful feature,6,Positive
"Terrible experience, needs major improvements.",1,12,Flipkart,en,Qatar,4.2.1,Yes,2024-04-04,46,terrible experience need major improvement,5,Negative
The app is okay and does its job reasonably well.,3,84,App Store,zh,Germany,3.5.6,No,,49,app okay job reasonably well,5,Neutral
"Excellent app, very easy to use and extremely helpful.",4,183,Flipkart,ja,Qatar,4.2.1,No,,54,excellent app easy use extremely helpful,6,Positive
"Terrible experience, needs major improvements.",1,50,Google Play,zh,India,4.2.1,Yes,,46,terrible experience need major improvement,5,Negative
Very reliable and worth using regularly.,4,26,App Store,ja,Qatar,5.0.3,Yes,,40,reliable worth use regularly,4,Positive
"Waste of time, does not meet expectations.",2,81,Flipkart,ja,Qatar,1.2.3,No,2024-07-05,42,waste time not meet expectation,5,Negative
"Great experience, smooth performance and useful features.",5,48,Google Play,fr,Nepal,2.1.4,No,,57,great experience smooth performance useful feature,6,Positive
"Terrible experience, needs major improvements.",2,16,Google Play,de,Poland,2.1.4,Yes,,46,terrible experience need major improvement,5,Negative
"Highly satisfied, the app works exactly as expected.",4,68,Google Play,zh,Nepal,1.2.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
Poor performance and not user-friendly.,1,31,Google Play,ja,UK,3.5.6,Yes,2024-09-08,39,poor performance not user friendly,5,Negative
